"Yard.Code","area","back_area_ha","shrub","tree","density","mean_dbh","n_fruiting_plants","n_native_plants","season","richness"
"Y06",0.021,0.012,1,4,238.095238095238,7.2,1,3,"SR_breed_2024",3
"Y06",0.021,0.012,1,4,238.095238095238,7.2,1,3,"SR_breed_2025",1
"Y06",0.021,0.012,1,4,238.095238095238,7.2,1,3,"SR_breed",4
"Y26",0.034,0.019,0,4,117.647058823529,17,0,0,"SR_total",6
"Y26",0.034,0.019,0,4,117.647058823529,17,0,0,"SR_mig_2024",2
"Y26",0.034,0.019,0,4,117.647058823529,17,0,0,"SR_mig_2025",2
"Y26",0.034,0.019,0,4,117.647058823529,17,0,0,"SR_mig",3
"Y26",0.034,0.019,0,4,117.647058823529,17,0,0,"SR_breed_2024",5
"Y26",0.034,0.019,0,4,117.647058823529,17,0,0,"SR_breed_2025",3
"Y26",0.034,0.019,0,4,117.647058823529,17,0,0,"SR_breed",6
"Y27",0.012,0.01,0,1,83.3333333333333,106,0,0,"SR_total",6
"Y27",0.012,0.01,0,1,83.3333333333333,106,0,0,"SR_mig_2024",1
"Y27",0.012,0.01,0,1,83.3333333333333,106,0,0,"SR_mig_2025",3
"Y27",0.012,0.01,0,1,83.3333333333333,106,0,0,"SR_mig",3
"Y27",0.012,0.01,0,1,83.3333333333333,106,0,0,"SR_breed_2024",4
"Y27",0.012,0.01,0,1,83.3333333333333,106,0,0,"SR_breed_2025",0
"Y27",0.012,0.01,0,1,83.3333333333333,106,0,0,"SR_breed",4
"Y33",0.025,0.017,4,3,280,15.5731292517007,0,0,"SR_total",9
"Y33",0.025,0.017,4,3,280,15.5731292517007,0,0,"SR_mig_2024",4
"Y33",0.025,0.017,4,3,280,15.5731292517007,0,0,"SR_mig_2025",2
"Y33",0.025,0.017,4,3,280,15.5731292517007,0,0,"SR_mig",5
"Y33",0.025,0.017,4,3,280,15.5731292517007,0,0,"SR_breed_2024",6
"Y33",0.025,0.017,4,3,280,15.5731292517007,0,0,"SR_breed_2025",0
"Y33",0.025,0.017,4,3,280,15.5731292517007,0,0,"SR_breed",6
"Y04",0.021,0.025,1,19,952.380952380952,25.45,0,1,"SR_total",6
"Y04",0.021,0.025,1,19,952.380952380952,25.45,0,1,"SR_mig_2024",0
"Y04",0.021,0.025,1,19,952.380952380952,25.45,0,1,"SR_mig_2025",5
"Y04",0.021,0.025,1,19,952.380952380952,25.45,0,1,"SR_mig",5
"Y04",0.021,0.025,1,19,952.380952380952,25.45,0,1,"SR_breed_2024",2
"Y04",0.021,0.025,1,19,952.380952380952,25.45,0,1,"SR_breed_2025",0
"Y04",0.021,0.025,1,19,952.380952380952,25.45,0,1,"SR_breed",2
"Y24",0.025,0.016,5,7,480,16.25,2,0,"SR_total",4
"Y24",0.025,0.016,5,7,480,16.25,2,0,"SR_mig_2024",1
"Y24",0.025,0.016,5,7,480,16.25,2,0,"SR_mig_2025",3
"Y24",0.025,0.016,5,7,480,16.25,2,0,"SR_mig",3
"Y24",0.025,0.016,5,7,480,16.25,2,0,"SR_breed_2024",2
"Y24",0.025,0.016,5,7,480,16.25,2,0,"SR_breed_2025",1
"Y24",0.025,0.016,5,7,480,16.25,2,0,"SR_breed",3
"Y09",0.016,0.002,4,2,375,13.1666666666667,0,0,"SR_total",2
"Y09",0.016,0.002,4,2,375,13.1666666666667,0,0,"SR_mig_2024",1
"Y09",0.016,0.002,4,2,375,13.1666666666667,0,0,"SR_mig_2025",1
"Y09",0.016,0.002,4,2,375,13.1666666666667,0,0,"SR_mig",2
"Y09",0.016,0.002,4,2,375,13.1666666666667,0,0,"SR_breed_2024",1
"Y09",0.016,0.002,4,2,375,13.1666666666667,0,0,"SR_breed_2025",1
"Y09",0.016,0.002,4,2,375,13.1666666666667,0,0,"SR_breed",2
"Y49",0.013,0.008,5,2,538.461538461538,17.0714285714286,0,0,"SR_total",8
"Y49",0.013,0.008,5,2,538.461538461538,17.0714285714286,0,0,"SR_mig_2024",5
"Y49",0.013,0.008,5,2,538.461538461538,17.0714285714286,0,0,"SR_mig_2025",4
"Y49",0.013,0.008,5,2,538.461538461538,17.0714285714286,0,0,"SR_mig",8
"Y49",0.013,0.008,5,2,538.461538461538,17.0714285714286,0,0,"SR_breed_2024",2
"Y49",0.013,0.008,5,2,538.461538461538,17.0714285714286,0,0,"SR_breed_2025",5
"Y49",0.013,0.008,5,2,538.461538461538,17.0714285714286,0,0,"SR_breed",5
"Y25",0.014,0.008,2,2,285.714285714286,23.25,0,1,"SR_total",4
"Y25",0.014,0.008,2,2,285.714285714286,23.25,0,1,"SR_mig_2024",1
"Y25",0.014,0.008,2,2,285.714285714286,23.25,0,1,"SR_mig_2025",NA
"Y25",0.014,0.008,2,2,285.714285714286,23.25,0,1,"SR_mig",1
"Y25",0.014,0.008,2,2,285.714285714286,23.25,0,1,"SR_breed_2024",3
"Y25",0.014,0.008,2,2,285.714285714286,23.25,0,1,"SR_breed_2025",NA
"Y25",0.014,0.008,2,2,285.714285714286,23.25,0,1,"SR_breed",3
