"Yard.Code","area","shrub","tree","mean_dbh","n_fruiting_plants","proportion_fruit","n_native_plants","proportion_native","season","richness","year","area_scale","shrub_scale","tree_scale","mean_dbh_scale","n_fruiting_plants_scale","proportion_fruit_scale","n_native_plants_scale","proportion_native_scale","richness_scale"
"Y45",2e+06,2,5,10.7142857142857,0,0,4,0.571428571428571,"migration",1,"2025",-0.519417893650984,-0.520860233604914,0.195931222223677,-0.565721865208824,-0.570194726058898,-0.362645060313474,1.56970564966323,1.93767437763256,-0.688378017595973
"Y45",2e+06,2,5,10.7142857142857,0,0,4,0.571428571428571,"breeding",1,"2024",-0.519417893650984,-0.520860233604914,0.195931222223677,-0.565721865208824,-0.570194726058898,-0.362645060313474,1.56970564966323,1.93767437763256,-0.688378017595973
"Y45",2e+06,2,5,10.7142857142857,0,0,4,0.571428571428571,"breeding",3,"2025",-0.519417893650984,-0.520860233604914,0.195931222223677,-0.565721865208824,-0.570194726058898,-0.362645060313474,1.56970564966323,1.93767437763256,-0.00407324270766847
"Y13",3300000,19,6,11.9007142857143,0,0,4,0.16,"migration",5,"2024",1.24907636330356,2.95774204082791,0.435402716052616,-0.506529360529237,-0.570194726058898,-0.362645060313474,1.56970564966323,0.0541050531956316,0.680231532180636
"Y13",3300000,19,6,11.9007142857143,0,0,4,0.16,"migration",11,"2025",1.24907636330356,2.95774204082791,0.435402716052616,-0.506529360529237,-0.570194726058898,-0.362645060313474,1.56970564966323,0.0541050531956316,2.73314585684555
"Y13",3300000,19,6,11.9007142857143,0,0,4,0.16,"breeding",2,"2024",1.24907636330356,2.95774204082791,0.435402716052616,-0.506529360529237,-0.570194726058898,-0.362645060313474,1.56970564966323,0.0541050531956316,-0.346225630151821
"Y13",3300000,19,6,11.9007142857143,0,0,4,0.16,"breeding",1,"2025",1.24907636330356,2.95774204082791,0.435402716052616,-0.506529360529237,-0.570194726058898,-0.362645060313474,1.56970564966323,0.0541050531956316,-0.688378017595973
"Y47",2200000,6,4,18.625,1,0.1,0,0,"migration",2,"2024",-0.247341854119516,0.297634419202808,-0.0435402716052616,-0.171045772899123,1.22184584155478,0.106660311856904,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y47",2200000,6,4,18.625,1,0.1,0,0,"migration",8,"2025",-0.247341854119516,0.297634419202808,-0.0435402716052616,-0.171045772899123,1.22184584155478,0.106660311856904,-0.69478774657225,-0.678394128529843,1.70668869451309
"Y47",2200000,6,4,18.625,1,0.1,0,0,"breeding",5,"2024",-0.247341854119516,0.297634419202808,-0.0435402716052616,-0.171045772899123,1.22184584155478,0.106660311856904,-0.69478774657225,-0.678394128529843,0.680231532180636
