"Yard.Code","area","shrub","tree","density","mean_dbh","n_fruiting_plants","proportion_fruit","n_native_plants","proportion_native","season","richness"
"Y04",2100000,1,19,0.0952380952380952,25.45,0,0,1,0.05,"SR_total",6
"Y04",2100000,1,19,0.0952380952380952,25.45,0,0,1,0.05,"SR_mig_2024",0
"Y04",2100000,1,19,0.0952380952380952,25.45,0,0,1,0.05,"SR_mig_2025",5
"Y04",2100000,1,19,0.0952380952380952,25.45,0,0,1,0.05,"SR_mig",5
"Y04",2100000,1,19,0.0952380952380952,25.45,0,0,1,0.05,"SR_breed_2024",2
"Y04",2100000,1,19,0.0952380952380952,25.45,0,0,1,0.05,"SR_breed_2025",0
"Y04",2100000,1,19,0.0952380952380952,25.45,0,0,1,0.05,"SR_breed",2
"Y24",2500000,5,7,0.048,16.25,2,0.166666666666667,0,0,"SR_total",4
"Y24",2500000,5,7,0.048,16.25,2,0.166666666666667,0,0,"SR_mig_2024",1
"Y24",2500000,5,7,0.048,16.25,2,0.166666666666667,0,0,"SR_mig_2025",3
"Y24",2500000,5,7,0.048,16.25,2,0.166666666666667,0,0,"SR_mig",3
"Y24",2500000,5,7,0.048,16.25,2,0.166666666666667,0,0,"SR_breed_2024",2
"Y24",2500000,5,7,0.048,16.25,2,0.166666666666667,0,0,"SR_breed_2025",1
"Y24",2500000,5,7,0.048,16.25,2,0.166666666666667,0,0,"SR_breed",3
"Y09",1600000,4,2,0.0375,13.1666666666667,0,0,0,0,"SR_total",2
"Y09",1600000,4,2,0.0375,13.1666666666667,0,0,0,0,"SR_mig_2024",1
"Y09",1600000,4,2,0.0375,13.1666666666667,0,0,0,0,"SR_mig_2025",1
"Y09",1600000,4,2,0.0375,13.1666666666667,0,0,0,0,"SR_mig",2
"Y09",1600000,4,2,0.0375,13.1666666666667,0,0,0,0,"SR_breed_2024",1
"Y09",1600000,4,2,0.0375,13.1666666666667,0,0,0,0,"SR_breed_2025",1
"Y09",1600000,4,2,0.0375,13.1666666666667,0,0,0,0,"SR_breed",2
"Y49",1300000,5,2,0.0538461538461538,17.0714285714286,0,0,0,0,"SR_total",8
"Y49",1300000,5,2,0.0538461538461538,17.0714285714286,0,0,0,0,"SR_mig_2024",5
"Y49",1300000,5,2,0.0538461538461538,17.0714285714286,0,0,0,0,"SR_mig_2025",4
"Y49",1300000,5,2,0.0538461538461538,17.0714285714286,0,0,0,0,"SR_mig",8
