"","Date","Time","Tag.ID","Species","Lat","Lon","Signal","Receiver","timestamp.EDT","timestamp","ID"
"93",2022-10-03,"08:30","6","SOSP",45.43167,-73.94033,"204","New",2022-10-03 08:30:00,2022-10-03 12:30:00,"SOSP6"
"94",2022-10-03,"08:49","188","MYWA",45.431,-73.93865,"250","New",2022-10-03 08:49:00,2022-10-03 12:49:00,"MYWA188"
"95",2022-10-03,"09:03","7","SOSP",45.43625,-73.93835,"242","New",2022-10-03 09:03:00,2022-10-03 13:03:00,"SOSP7"
"96",2022-10-03,"09:20","11","SOSP",45.43589,-73.93809,"204","New",2022-10-03 09:20:00,2022-10-03 13:20:00,"SOSP11"
"97",2022-10-03,"09:20","133","HETH",45.42926,-73.93825,"222","New",2022-10-03 09:20:00,2022-10-03 13:20:00,"HETH133"
"98",2022-10-03,"09:32","135","HETH",45.42897,-73.93864,"210","New",2022-10-03 09:32:00,2022-10-03 13:32:00,"HETH135"
"99",2022-10-03,"09:50","18","SOSP",45.42866,-73.93652,"226","New",2022-10-03 09:50:00,2022-10-03 13:50:00,"SOSP18"
"100",2022-10-03,"09:57","141","HETH",45.4352,-73.9421,"220","New",2022-10-03 09:57:00,2022-10-03 13:57:00,"HETH141"
"101",2022-10-04,"07:51","137","HETH",45.43182,-73.94019,"244","New",2022-10-04 07:51:00,2022-10-04 11:51:00,"HETH137"
"102",2022-10-04,"07:55","142","HETH",45.43191,-73.94016,"240","New",2022-10-04 07:55:00,2022-10-04 11:55:00,"HETH142"
"103",2022-10-04,"07:57","139","HETH",45.43185,-73.94016,"223","New",2022-10-04 07:57:00,2022-10-04 11:57:00,"HETH139"
"104",2022-10-04,"08:02","136","HETH",45.43221,-73.94037,"239","New",2022-10-04 08:02:00,2022-10-04 12:02:00,"HETH136"
"105",2022-10-04,"08:21","134","HETH",45.43075,-73.93878,"248","New",2022-10-04 08:21:00,2022-10-04 12:21:00,"HETH134"
"106",2022-10-04,"08:28","135","HETH",45.42922,-73.93826,"227","NewGPS",2022-10-04 08:28:00,2022-10-04 12:28:00,"HETH135"
"107",2022-10-04,"08:48","138","HETH",45.42965,-73.93857,"248","NewGPS",2022-10-04 08:48:00,2022-10-04 12:48:00,"HETH138"
"108",2022-10-04,"09:02","133","HETH",45.42909,-73.93829,"227","NewGPS",2022-10-04 09:02:00,2022-10-04 13:02:00,"HETH133"
"109",2022-10-04,"09:55","188","MYWA",45.43061,-73.93819,"250","New",2022-10-04 09:55:00,2022-10-04 13:55:00,"MYWA188"
"110",2022-10-04,"10:10","140","HETH",45.4299,-73.94034,"224","NewGPS",2022-10-04 10:10:00,2022-10-04 14:10:00,"HETH140"
"111",2022-10-04,"10:20","141","HETH",45.43421,-73.94235,"210","New",2022-10-04 10:20:00,2022-10-04 14:20:00,"HETH141"
"112",2022-10-04,"10:30","6","SOSP",45.43175,-73.94044,"214","New",2022-10-04 10:30:00,2022-10-04 14:30:00,"SOSP6"
"113",2022-10-04,"10:56","138","HETH",45.4301,-73.93855,"220","New",2022-10-04 10:56:00,2022-10-04 14:56:00,"HETH138"
"114",2022-10-05,"07:31","139","HETH",45.4316,-73.93936,"223","New",2022-10-05 07:31:00,2022-10-05 11:31:00,"HETH139"
"115",2022-10-05,"07:37","142","HETH",45.43178,-73.93984,"247","New",2022-10-05 07:37:00,2022-10-05 11:37:00,"HETH142"
"116",2022-10-05,"07:38","137","HETH",45.43179,-73.93985,"238","New",2022-10-05 07:38:00,2022-10-05 11:38:00,"HETH137"
"117",2022-10-05,"07:43","6","SOSP",45.43176,-73.9398,"220","New",2022-10-05 07:43:00,2022-10-05 11:43:00,"SOSP6"
"118",2022-10-05,"07:47","136","HETH",45.4318,-73.94026,"242","New",2022-10-05 07:47:00,2022-10-05 11:47:00,"HETH136"
"119",2022-10-05,"08:09","138","HETH",45.43029,-73.93847,"210","New",2022-10-05 08:09:00,2022-10-05 12:09:00,"HETH138"
"120",2022-10-05,"08:14","143","HETH",45.42944,-73.93834,"249","New",2022-10-05 08:14:00,2022-10-05 12:14:00,"HETH143"
"121",2022-10-05,"08:21","133","HETH",45.42878,-73.93802,"217","New",2022-10-05 08:21:00,2022-10-05 12:21:00,"HETH133"
"122",2022-10-05,"08:31","18","SOSP",45.42906,-73.93704,"243","New",2022-10-05 08:31:00,2022-10-05 12:31:00,"SOSP18"
"123",2022-10-05,"08:43","135","HETH",45.42898,-73.93863,"211","New",2022-10-05 08:43:00,2022-10-05 12:43:00,"HETH135"
"124",2022-10-05,"08:52","140","HETH",45.42976,-73.93964,"201","New",2022-10-05 08:52:00,2022-10-05 12:52:00,"HETH140"
"125",2022-10-05,"10:10","134","HETH",45.43218,-73.94043,"240","New",2022-10-05 10:10:00,2022-10-05 14:10:00,"HETH134"
"126",2022-10-05,"10:28","188","MYWA",45.43079,-73.93847,"250","New",2022-10-05 10:28:00,2022-10-05 14:28:00,"MYWA188"
"127",2022-10-06,"08:02","139","HETH",45.43166,-73.93963,"250","New",2022-10-06 08:02:00,2022-10-06 12:02:00,"HETH139"
